,user,text
248,mdsumner,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
249,mdsumner,@KimmyKy2 Plant Science and Geography
250,adhaamehab,@KimmyKy2 Computer Science
251,thisistonylu,@KimmyKy2 Geography FTW!
252,daoteajing,@KimmyKy2 Ecology
253,lewdacris_,@KimmyKy2 “Quantitative Science” which was all statistics and economics classes
254,jbensnyder,"@KimmyKy2 BA/MA - Sociology
MS - Computer Engineering"
255,gro7or,@KimmyKy2 Operations Research
256,cmsadler,@KimmyKy2 Mathematics (B.S. and M.A. degrees)
257,kccarrell,"@KimmyKy2 History, Anthropology, Statistics"
258,LarsvonS,@KimmyKy2 Marketing. 🤹‍♂️
259,beeonaposy,@KimmyKy2 Statistics and English!
260,Agnes_Kalibata,"@jacob_deppen @KimmyKy2 All of you are really great!  How diverse! In addition to my work in Ag, I intentionally st… https://t.co/9KpOEITg4t"
261,definity,@KimmyKy2 Mathematics.
262,LittleMissData,@KimmyKy2 @oscar_b123 Software engineering!
263,jacob_deppen,@KimmyKy2 Anthropology (specializing in archaeology) with a Geography (GIS) minor.
264,monkmanmh,"@KimmyKy2 Geography BSc and MA, with some statistics courses and 1st year CS programming (FORTRAN)"
265,schnee,@KimmyKy2 Electrical Engineering and Math
266,JaeheeRyoo,"@KimmyKy2 Still a ways behind on being called a data scientist but for variety, Marine Geography and one additional module in C."
267,akdm_bot,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
268,jeffblackadar,@KimmyKy2 History (I learned R in a digital history course)
269,ben_j_lindsay,"@KimmyKy2 Not quite a data scientist yet, but chemical engineering"
270,DataSciEng,@KimmyKy2 Mechanical engineering PhD / Graduate certificate scientific computing
271,_Alejandro_AA,"@KimmyKy2 @rstatstweet English, but had a Data Analytics course as an elective and it always stuck with me as I pro… https://t.co/xKlEZiyEvw"
272,HRJ21,"@KimmyKy2 @asiflaldin Pharmacology, then PhD in Immunology."
273,ZachSmithingell,"@KimmyKy2 @rstatstweet Public health policy, sort of. I went to evergreen, land of no majors.

But I took stats and econ, too."
274,DrJuanConde,@KimmyKy2 @machinelearn_d Aerospace engineering
275,asiflaldin,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
276,mesken_stefan,@KimmyKy2 Mathematics/Computer Science.
277,machinelearn_d,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
278,DrLeo037,@KimmyKy2 @rstatstweet Cybernetics.  (I lucked in when I chose it.  How was I to know way back then that I'd signed… https://t.co/zvJ02slSyM
279,ruy_valdes,"@KimmyKy2 Just take Stats, Computer Science, and something where you can apply that."
280,Aaron_Hawn,@KimmyKy2 @rstats4ds History. Currently enrolled in an MS Data Science program
281,Varmer,@KimmyKy2 @rstatstweet Economics and IT management
282,JonTheGeek,@KimmyKy2 @oscar_b123 Biochemistry
283,oscar_b123,@KimmyKy2 @rstats4ds Mechanical Engineering
284,oscar_b123,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
285,rstats4ds,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
286,StatsGary,@KimmyKy2 Applied Business Statistics
287,jananivijayan1,@KimmyKy2 Mathematics
288,jananivijayan1,@SushGopalan @KimmyKy2 @rstatstweet Mathematics
289,daniellequinn88,"@KimmyKy2 I'm not sure I consider myself a full-fledged ""data scientist"" (yet), but ... Biology! :)"
290,jennifer_ebe,@KimmyKy2 @rstatstweet Mathematics and Statistics
291,berndschmidl,@KimmyKy2 Sociology
292,rstatstweet,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
