,user,text,clean_response,clean_response_2,clean_response_3
244,riannone,@KimmyKy2 (Atmospheric) Chemistry,Chemistry,,
245,raissaphilibert,@KimmyKy2 Chemistry and Environmental science,Chemistry,Environmental Science,
246,j_pye,"@KimmyKy2 @mdsumner Computer science. First job was in oceanography, though.",Computer Science,,
247,ross_gayler,@KimmyKy2 Psychology + Computer Science followed by a PhD in Psychology,Psychology,Computer Science,
248,the_engi_nerd,@KimmyKy2 Engineering Physics,Physics,,
249,pybokeh,@KimmyKy2 industrial engineering,Engineering,,
250,fjsosah,@nj_tierney @KimmyKy2 @mdsumner Psychology,Psychology,,
251,BenjaminWolfe,"@KimmyKy2 Double major: Spanish and philosophy. So like, totally related.",Spanish,Philosophy,
252,_varunparikh,@dileep31 @KimmyKy2 @machinelearn_d Where from?,,,
253,JHanlon,@KimmyKy2 Music &amp; English,Music,English,
254,TommyJEnglish,@KimmyKy2 Public Health,Public Health,,
255,harish_guda,@KimmyKy2 Mechanical Engineering and Operations Research,Engineering,Operations Research,
256,apreshill,@KimmyKy2 Applied psychology,Psychology,,
257,Ross_Dahlke,@KimmyKy2 Journalism and political science,Journalism,Political Science,
258,Pete1729,"@KimmyKy2 Engineering in undergrad. For postgrad, PhD in data science",Engineering,,
259,marisalyn,@KimmyKy2 environmental engineering -&gt; applied math and stats + econ research -&gt; data science!,Engineering,Math,
260,JohnBVincent,"@KimmyKy2 @nj_tierney Biology, ecology/evolution",Biology,Ecology,
261,dwhdai,"@KimmyKy2 @nj_tierney Biological sciences undergrad, Biostatistics Masters",Biology,,
262,greg_dubrow,"@KimmyKy2 Film major undergrad, no math or science courses. Higher ed policy for MS/PhD. Grad assistantship in poli… https://t.co/lGUb0RRo6i",Filmmaking,,
263,maguiiiar,@KimmyKy2 Statistics,Statistics,,
264,sbtr11,@KimmyKy2 same,,,
265,hrbrmstr,@KimmyKy2 CompSci w/Math &amp; Engineering minors.,Computer Science,Math,
266,seankross,@KimmyKy2 @nj_tierney Biology and Computer Science,Biology,Computer Science,
267,nj_tierney,"@KimmyKy2 @mdsumner Psychological Sciences + Honours for Undergraduate, PhD in statistics afterwards.",Psychology,,
268,nj_tierney,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
269,dileep31,"@KimmyKy2 @machinelearn_d Bachelors in Mechanical engineering. After 9 years as data scientist /analyst, now doing Masters in Analytics",Engineering,,
270,chen_mingi,@KimmyKy2 Cybernetic Systems,Cybernetic Systems,,
271,ludmila_janda,"@KimmyKy2 english (with a minor in social and economic justice, whatever that is)",English,,
272,AndrewAbbott,"@KimmyKy2 Economics and political science undergrad
Economics and Data Science masters",Economics,Political Science,
273,healthandstats,@KimmyKy2 Economics and Psychology,Economics,Psychology,
274,StevenNHart,"@KimmyKy2 Biotechnology (Bio Major, Chemistry &amp; Business Minor)",Biology,,
275,GarrettRMooney,@KimmyKy2 Econ,Economics,,
276,majmurr,@KimmyKy2 Mathematics,Math,,
277,jfdavidson,@KimmyKy2 Econ...but I worked in IT through school,Economics,,
278,indiedataviz,"@KimmyKy2 I did my masters in Quantitative sociology... although in my undergrad, I majored in criminology and visual art",Sociology,,
279,AmberAnalytics,@KimmyKy2 Social Science,Social Science,,
280,ndoogan,@KimmyKy2 Social work.,Social Work,,
281,AnnaChingChing,@KimmyKy2 Structural Engineering,Engineering,,
282,carter_allen_,@KimmyKy2 Stats,Statistics,,
283,luketrailrunner,"@KimmyKy2 Marketing, so I feel odd in this bunch 😅. I did lead the Economics club tho!",Marketing,,
284,Corey_Yanofsky,"@KimmyKy2 undergrad: biochemistry, chemical engineering (a double degree program under the title ""Biotechnology"")… https://t.co/KabZgHrCjf",Biochemistry,Engineering,
285,joana_beja,@KimmyKy2 Environmental engineering... swiftly moved to oceanography after graduating though,Engineering,,
286,jbono,@KimmyKy2 English,English,,
287,nvergos,"@KimmyKy2 Applied math and physics, followed by physics PhD.",Math,Physics,
288,fledglingStat,"@BenListyg @KimmyKy2 Undergrad: economics, philosophy 

Grad: statistics",Economics,Philosophy,
289,mrjoh3,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
290,mrjoh3,@KimmyKy2 Ecology and anthropology,Ecology,Anthropology,
291,adantonison,@KimmyKy2 Industrial and Systems Engineering,Engineering,,
292,jarvmiller,@KimmyKy2 Stats. Was a stats + math major but dropped it during the last semester bc I didn’t wanna take a class on Friday 😂,Statistics,,
293,cnborish,@KimmyKy2 Biomedical engineering,Engineering,,
294,chetchavat,"@KimmyKy2 Political Science, Masters in Public Administration",Political Science,,
295,Brandon_Weiss_B,@KimmyKy2 Economics &amp; Music Performance,Economics,Music,
296,mulderc,@KimmyKy2 Economics &amp; political sci. With minors soc. and psych. Master Econ.,Economics,Political Science,
